player_name,driving_dist,driving_acc,gir,scrambling,sg_putt,sg_app,sg_ott,sg_t2g,sg_total,round_score,birdies,pars,bogies,fan_score,play_style
"Munoz, Sebastian",293.1,0.66075,0.6527499999999999,0.586,-0.20375,0.3245,-0.10575000000000007,0.18074999999999997,-0.022750000000000048,73.0,18,36,15,56,Aggressive
"Na, Kevin",290.55,0.75,0.5695,0.67825,1.802,-0.57975,0.13275000000000003,-0.32500000000000007,1.4772500000000002,71.5,12,51,8,62,Balanced
"Niemann, Joaquin",312.025,0.58925,0.66675,0.589,0.5855,0.010500000000000016,-0.20700000000000002,-0.6085,-0.022749999999999937,73.0,13,45,12,70,Aggressive
"Olazabal, Jose Maria",259.45,0.768,0.4305,0.7295,1.2305,-1.1105,-1.6974999999999998,-2.2535,-1.0227499999999998,74.0,11,46,12,61,Balanced
"Oosthuizen, Louis",285.475,0.7502500000000001,0.66675,0.60625,0.45375,0.36775,-0.1755,0.27299999999999996,0.72725,72.25,11,49,12,62,Balanced
"Ortiz, Carlos",308.1,0.786,0.5555,0.396,-1.1760000000000002,-0.8539999999999999,1.266,-1.8980000000000001,-3.0735,76.5,5,22,5,62,Conservative
"Osborne, Charles",300.35,0.4645,0.583,0.4155,-1.033,-0.5995,-0.7255,-1.5415,-2.5735,76.0,5,18,13,58,Balanced
"Palmer, Ryan",305.35,0.6247499999999999,0.6387499999999999,0.4785,0.47200000000000003,0.89175,-0.025749999999999995,0.0050000000000001155,0.47724999999999995,72.5,16,37,14,90,Aggressive
"Pan, C.T.",293.6,0.7145,0.6665,0.3095,-1.4405000000000001,0.15499999999999997,0.315,-0.1335,-1.5735000000000001,75.0,5,23,6,56,Conservative
"Perez, Victor",293.95000000000005,0.7855,0.611,0.432,-0.22600000000000003,-0.263,0.3145,-1.8475,-2.0735,75.5,6,19,9,97,Balanced
"Poulter, Ian",277.42499999999995,0.7502500000000001,0.48575,0.69275,1.588,-0.60725,-0.543,-0.861,0.72725,72.25,14,44,13,63,Aggressive
"Rahm, Jon",310.175,0.75,0.69425,0.748,0.08449999999999996,-0.19700000000000006,1.7055,2.39275,2.4772499999999997,70.5,13,49,9,66,Balanced
"Reed, Patrick",294.8,0.66075,0.528,0.62025,1.6795,0.39225,-0.22375000000000006,0.29700000000000004,1.97725,71.0,16,42,12,48,Aggressive
"Rose, Justin",290.45,0.66075,0.69425,0.53675,1.51175,0.6422499999999999,-0.18425,0.7155,2.2272499999999997,70.75,18,38,15,57,Aggressive
"Schauffele, Xander",312.925,0.732,0.70825,0.63525,-0.26725,0.6507499999999999,0.8315,2.994,2.72725,70.25,19,41,9,66,Balanced
"Scheffler, Scottie",306.875,0.6605,0.6805,0.59275,-0.57975,0.8545,0.635,1.8065,1.22725,71.75,14,43,13,74,Aggressive
"Schwartzel, Charl",295.75,0.80375,0.68075,0.5735,0.15874999999999997,0.742,0.66625,0.5682499999999999,0.7272500000000001,72.25,13,45,14,82,Aggressive
"Scott, Adam",303.775,0.6427499999999999,0.6112500000000001,0.48625,0.06325000000000001,-1.6967499999999998,0.35275,-1.83675,-1.77275,74.75,11,42,17,48,Balanced
"Simpson, Webb",287.2,0.69625,0.625,0.69675,1.1844999999999999,0.95625,-0.7857500000000001,0.2924999999999999,1.47725,71.5,19,39,11,45,Aggressive
"Singh, Vijay",297.4,0.46399999999999997,0.5,0.393,-0.7635,-1.7245,-1.073,-5.310499999999999,-6.0735,79.5,2,18,12,54,Balanced
"Smith, Cameron",296.85,0.6785,0.70825,0.61075,-0.1715000000000001,0.6519999999999999,0.33475,1.89825,1.72725,71.25,12,47,9,65,Balanced
"Spieth, Jordan",303.25,0.7502500000000001,0.778,0.525,-0.87575,1.119,0.78425,3.6029999999999998,2.7272499999999997,70.25,18,43,8,55,Balanced
"Stenson, Henrik",275.35,0.8575,0.5975,0.609,0.8949999999999999,-0.6745000000000001,0.0325,-0.66825,0.22724999999999995,72.75,14,43,13,97,Aggressive
"Strafaci, Tyler",291.3,0.4285,0.4445,0.45,-0.8440000000000001,-2.0795,-2.5180000000000002,-6.2299999999999995,-7.0735,80.5,1,21,11,71,Balanced
"Streb, Robert",288.95,0.6785,0.5,0.516,1.1349999999999998,-1.2165,-0.587,-2.709,-1.5735,75.0,8,17,8,77,Balanced
"Swafford, Hudson",296.05,0.6075,0.5,0.36150000000000004,-0.823,-1.8295,-0.23900000000000005,-3.7510000000000003,-4.5735,78.0,4,17,14,91,Balanced
"Thomas, Justin",307.675,0.5535,0.6667500000000001,0.69175,-0.25675000000000003,0.223,-0.2125,1.2335000000000003,0.97725,72.0,17,40,14,42,Aggressive
"Thompson, Michael",289.95,0.75,0.6112500000000001,0.56625,-0.08850000000000002,-0.25,0.74,0.56525,0.47725000000000006,72.5,11,45,15,57,Balanced
"Todd, Brendon",275.0,0.83925,0.5835,0.543,-0.11325,0.4850000000000001,-0.889,-0.15950000000000003,-0.27275000000000005,73.25,11,45,16,80,Balanced
"Walker, Jimmy",302.2,0.5,0.528,0.54,1.5715,-0.657,-0.942,-2.145,-0.5735,74.0,6,20,10,84,Balanced
"Wallace, Matt",286.825,0.714,0.6527499999999999,0.46924999999999994,-0.48500000000000004,0.477,-0.3375,0.96225,0.47724999999999995,72.5,13,42,15,74,Aggressive
"Watson, Bubba",302.40000000000003,0.6965,0.6805,0.54575,-0.4335,0.65025,0.947,1.16025,0.7272500000000001,72.25,13,46,12,82,Aggressive
"Weir, Mike",277.1,0.6785,0.6115,0.5165,0.14900000000000002,0.5665,-0.7455,-1.223,-1.0735,74.5,6,21,7,65,Balanced
"Westwood, Lee",292.55,0.643,0.5555,0.48750000000000004,-0.2530000000000001,-0.09200000000000003,0.451,-0.8205,-1.0735,74.5,6,20,9,90,Balanced
"Wiesberger, Bernd",295.475,0.7677499999999999,0.6527499999999999,0.64,-0.6179999999999999,-0.48225,0.22924999999999998,0.595,-0.022750000000000048,73.0,17,37,16,74,Aggressive
"Willett, Danny",296.3,0.714,0.5,0.549,0.7535,-2.8905000000000003,0.5495,-1.8279999999999998,-1.0735000000000001,74.5,7,17,12,81,Balanced
"Wolff, Matthew",,,,,,,,,-4.0735,77.5,3,22,10,80,Balanced
"Woodland, Gary",305.975,0.58925,0.6112500000000001,0.56525,1.2369999999999999,-0.46025000000000005,-0.011749999999999995,-1.26025,-0.022749999999999965,73.0,14,40,18,99,Aggressive
"Woosnam, Ian",268.9,0.8215,0.389,0.6060000000000001,0.7035,-2.1635,-1.0270000000000001,-3.777,-3.0735,76.5,5,19,10,68,Balanced
"Zalatoris, Will",305.125,0.69625,0.7362500000000001,0.5489999999999999,1.216,0.96775,0.97575,2.01075,3.2272499999999997,69.75,17,44,10,62,Aggressive
